"order"	"cultivation"	"trial"	"sampleID"	"aliquotID"	"name"	"crossing"	"line_id"	"treatment"	"plate_name"	"plate"	"machine"	"sector"	"date"	"time"
19	"foil greenhouse"	"MPI FGH 2014"	920879	1565431	"AR231"	"AxR"	899694	"control"	"TROST2_plate3_M4_101114_10am"	"plate3"	"M4"	"EF"	101114	"10am"
20	"foil greenhouse"	"MPI FGH 2014"	920880	1565435	"AR202"	"AxR"	899665	"control"	"TROST2_plate3_M4_101114_10am"	"plate3"	"M4"	"GH"	101114	"10am"
21	"foil greenhouse"	"MPI FGH 2014"	920881	1565439	"AR87"	"AxR"	899550	"control"	"TROST2_plate3_M4_101114_10am"	"plate3"	"M4"	"IJ"	101114	"10am"
22	"foil greenhouse"	"MPI FGH 2014"	920882	1565443	"AR271"	"AxR"	899734	"control"	"TROST2_plate3_M4_101114_10am"	"plate3"	"M4"	"KL"	101114	"10am"
23	"foil greenhouse"	"MPI FGH 2014"	920883	1565447	"Euroresa"	"Euroresa"	869004	"control"	"TROST2_plate3_M4_101114_10am"	"plate3"	"M4"	"MN"	101114	"10am"
24	"foil greenhouse"	"MPI FGH 2014"	920884	1565451	"AR68"	"AxR"	899531	"control"	"TROST2_plate3_M4_101114_10am"	"plate3"	"M4"	"OP"	101114	"10am"
25	"foil greenhouse"	"MPI FGH 2014"	920885	1565455	"AR254"	"AxR"	899717	"control"	"TROST2_plate4_M1_101114_12am"	"plate4"	"M1"	"AB"	101114	"12am"
26	"foil greenhouse"	"MPI FGH 2014"	920886	1565459	"AR59"	"AxR"	899522	"control"	"TROST2_plate4_M1_101114_12am"	"plate4"	"M1"	"CD"	101114	"12am"
27	"foil greenhouse"	"MPI FGH 2014"	920887	1565463	"AR256"	"AxR"	899719	"control"	"TROST2_plate4_M1_101114_12am"	"plate4"	"M1"	"EF"	101114	"12am"
28	"foil greenhouse"	"MPI FGH 2014"	920888	1565467	"AR282"	"AxR"	899745	"control"	"TROST2_plate4_M1_101114_12am"	"plate4"	"M1"	"GH"	101114	"12am"
29	"foil greenhouse"	"MPI FGH 2014"	920889	1565471	"AR105"	"AxR"	899568	"control"	"TROST2_plate102_M1_171114_11am"	"plate102"	"M1"	"AB"	171114	"11am"
30	"foil greenhouse"	"MPI FGH 2014"	920891	1565479	"AR260"	"AxR"	899723	"control"	"TROST2_plate4_M1_101114_12am"	"plate4"	"M1"	"KL"	101114	"12am"
31	"foil greenhouse"	"MPI FGH 2014"	920892	1565483	"AR234"	"AxR"	899697	"control"	"TROST2_plate4_M1_101114_12am"	"plate4"	"M1"	"MN"	101114	"12am"
32	"foil greenhouse"	"MPI FGH 2014"	920893	1565487	"AR245"	"AxR"	899708	"control"	"TROST2_plate102_M1_171114_11am"	"plate102"	"M1"	"CD"	171114	"11am"
33	"foil greenhouse"	"MPI FGH 2014"	920894	1565491	"AR261"	"AxR"	899724	"control"	"TROST2_plate5_M3_101114_12am"	"plate5"	"M3"	"AB"	101114	"12am"
34	"foil greenhouse"	"MPI FGH 2014"	920895	1565495	"AR71"	"AxR"	899534	"control"	"TROST2_plate5_M3_101114_12am"	"plate5"	"M3"	"CD"	101114	"12am"
35	"foil greenhouse"	"MPI FGH 2014"	920896	1565499	"AR125"	"AxR"	899588	"control"	"TROST2_plate5_M3_101114_12am"	"plate5"	"M3"	"EF"	101114	"12am"
37	"foil greenhouse"	"MPI FGH 2014"	920898	1565507	"AR104"	"AxR"	899567	"control"	"TROST2_plate5_M3_101114_12am"	"plate5"	"M3"	"IJ"	101114	"12am"
38	"foil greenhouse"	"MPI FGH 2014"	920899	1565511	"AR21"	"AxR"	899484	"control"	"TROST2_plate5_M3_101114_12am"	"plate5"	"M3"	"KL"	101114	"12am"
39	"foil greenhouse"	"MPI FGH 2014"	920900	1565515	"AR196"	"AxR"	899659	"control"	"TROST2_plate5_M3_101114_12am"	"plate5"	"M3"	"MN"	101114	"12am"
40	"foil greenhouse"	"MPI FGH 2014"	920901	1565519	"AR133"	"AxR"	899596	"control"	"TROST2_plate5_M3_101114_12am"	"plate5"	"M3"	"OP"	101114	"12am"
41	"foil greenhouse"	"MPI FGH 2014"	920902	1565523	"AR279"	"AxR"	899742	"control"	"TROST2_plate6_M4_101114_12am"	"plate6"	"M4"	"AB"	101114	"12am"
42	"foil greenhouse"	"MPI FGH 2014"	920903	1565527	"AR288"	"AxR"	899751	"control"	"TROST2_plate6_M4_101114_12am"	"plate6"	"M4"	"CD"	101114	"12am"
43	"foil greenhouse"	"MPI FGH 2014"	920904	1565531	"AR157"	"AxR"	899620	"control"	"TROST2_plate6_M4_101114_12am"	"plate6"	"M4"	"EF"	101114	"12am"
44	"foil greenhouse"	"MPI FGH 2014"	920905	1565535	"AR166"	"AxR"	899629	"control"	"TROST2_plate6_M4_101114_12am"	"plate6"	"M4"	"GH"	101114	"12am"
45	"foil greenhouse"	"MPI FGH 2014"	920906	1565539	"AR149"	"AxR"	899612	"control"	"TROST2_plate6_M4_101114_12am"	"plate6"	"M4"	"IJ"	101114	"12am"
46	"foil greenhouse"	"MPI FGH 2014"	920907	1565543	"AR52"	"AxR"	899515	"control"	"TROST2_plate6_M4_101114_12am"	"plate6"	"M4"	"KL"	101114	"12am"
47	"foil greenhouse"	"MPI FGH 2014"	920908	1565547	"AR216"	"AxR"	899679	"control"	"TROST2_plate6_M4_101114_12am"	"plate6"	"M4"	"MN"	101114	"12am"
48	"foil greenhouse"	"MPI FGH 2014"	920909	1565551	"AR22"	"AxR"	899485	"control"	"TROST2_plate6_M4_101114_12am"	"plate6"	"M4"	"OP"	101114	"12am"
49	"foil greenhouse"	"MPI FGH 2014"	920911	1565559	"AR164"	"AxR"	899627	"control"	"TROST2_plate7_M1_101114_2pm"	"plate7"	"M1"	"AB"	101114	"2pm"
50	"foil greenhouse"	"MPI FGH 2014"	920912	1565563	"AR41"	"AxR"	899504	"control"	"TROST2_plate7_M1_101114_2pm"	"plate7"	"M1"	"CD"	101114	"2pm"
51	"foil greenhouse"	"MPI FGH 2014"	920913	1565567	"AR184"	"AxR"	899647	"control"	"TROST2_plate7_M1_101114_2pm"	"plate7"	"M1"	"EF"	101114	"2pm"
52	"foil greenhouse"	"MPI FGH 2014"	920914	1565571	"AR161"	"AxR"	899624	"control"	"TROST2_plate7_M1_101114_2pm"	"plate7"	"M1"	"GH"	101114	"2pm"
53	"foil greenhouse"	"MPI FGH 2014"	920915	1565575	"AR1"	"AxR"	899464	"control"	"TROST2_plate7_M1_101114_2pm"	"plate7"	"M1"	"IJ"	101114	"2pm"
54	"foil greenhouse"	"MPI FGH 2014"	920916	1565579	"AR144"	"AxR"	899607	"control"	"TROST2_plate7_M1_101114_2pm"	"plate7"	"M1"	"KL"	101114	"2pm"
55	"foil greenhouse"	"MPI FGH 2014"	920917	1565583	"AR75"	"AxR"	899538	"control"	"TROST2_plate7_M1_101114_2pm"	"plate7"	"M1"	"MN"	101114	"2pm"
56	"foil greenhouse"	"MPI FGH 2014"	920918	1565587	"AR23"	"AxR"	899486	"control"	"TROST2_plate7_M1_101114_2pm"	"plate7"	"M1"	"OP"	101114	"2pm"
57	"foil greenhouse"	"MPI FGH 2014"	920919	1565591	"AR199"	"AxR"	899662	"control"	"TROST2_plate8_M3_101114_2pm"	"plate8"	"M3"	"AB"	101114	"2pm"
58	"foil greenhouse"	"MPI FGH 2014"	920920	1565595	"AR191"	"AxR"	899654	"control"	"TROST2_plate8_M3_101114_2pm"	"plate8"	"M3"	"CD"	101114	"2pm"
59	"foil greenhouse"	"MPI FGH 2014"	920921	1565599	"AR185"	"AxR"	899648	"control"	"TROST2_plate8_M3_101114_2pm"	"plate8"	"M3"	"EF"	101114	"2pm"
61	"foil greenhouse"	"MPI FGH 2014"	920923	1565607	"AR229"	"AxR"	899692	"control"	"TROST2_plate8_M3_101114_2pm"	"plate8"	"M3"	"IJ"	101114	"2pm"
62	"foil greenhouse"	"MPI FGH 2014"	920924	1565611	"AR140"	"AxR"	899603	"control"	"TROST2_plate8_M3_101114_2pm"	"plate8"	"M3"	"KL"	101114	"2pm"
63	"foil greenhouse"	"MPI FGH 2014"	920925	1565615	"Albatros"	"Albatros"	866296	"control"	"TROST2_plate8_M3_101114_2pm"	"plate8"	"M3"	"MN"	101114	"2pm"
64	"foil greenhouse"	"MPI FGH 2014"	920926	1565619	"AR139"	"AxR"	899602	"control"	"TROST2_plate8_M3_101114_2pm"	"plate8"	"M3"	"OP"	101114	"2pm"
65	"foil greenhouse"	"MPI FGH 2014"	920927	1565623	"AR293"	"AxR"	899756	"control"	"TROST2_plate9_M4_101114_2pm"	"plate9"	"M4"	"AB"	101114	"2pm"
66	"foil greenhouse"	"MPI FGH 2014"	920928	1565627	"AR90"	"AxR"	899553	"control"	"TROST2_plate9_M4_101114_2pm"	"plate9"	"M4"	"CD"	101114	"2pm"
67	"foil greenhouse"	"MPI FGH 2014"	920929	1565631	"AR268"	"AxR"	899731	"control"	"TROST2_plate9_M4_101114_2pm"	"plate9"	"M4"	"EF"	101114	"2pm"
68	"foil greenhouse"	"MPI FGH 2014"	920930	1565635	"AR85"	"AxR"	899548	"control"	"TROST2_plate9_M4_101114_2pm"	"plate9"	"M4"	"GH"	101114	"2pm"
69	"foil greenhouse"	"MPI FGH 2014"	920931	1565639	"AR201"	"AxR"	899664	"control"	"TROST2_plate9_M4_101114_2pm"	"plate9"	"M4"	"IJ"	101114	"2pm"
70	"foil greenhouse"	"MPI FGH 2014"	920932	1565643	"AR258"	"AxR"	899721	"control"	"TROST2_plate9_M4_101114_2pm"	"plate9"	"M4"	"KL"	101114	"2pm"
71	"foil greenhouse"	"MPI FGH 2014"	920933	1565647	"AR106"	"AxR"	899569	"control"	"TROST2_plate9_M4_101114_2pm"	"plate9"	"M4"	"MN"	101114	"2pm"
72	"foil greenhouse"	"MPI FGH 2014"	920934	1565651	"AR95"	"AxR"	899558	"control"	"TROST2_plate9_M4_101114_2pm"	"plate9"	"M4"	"OP"	101114	"2pm"
73	"foil greenhouse"	"MPI FGH 2014"	920936	1565659	"AR267"	"AxR"	899730	"control"	"TROST2_plate10_M1_101114_4pm"	"plate10"	"M1"	"AB"	101114	"4pm"
74	"foil greenhouse"	"MPI FGH 2014"	920937	1565663	"AR121"	"AxR"	899584	"control"	"TROST2_plate10_M1_101114_4pm"	"plate10"	"M1"	"CD"	101114	"4pm"
75	"foil greenhouse"	"MPI FGH 2014"	920938	1565667	"AR118"	"AxR"	899581	"control"	"TROST2_plate10_M1_101114_4pm"	"plate10"	"M1"	"EF"	101114	"4pm"
76	"foil greenhouse"	"MPI FGH 2014"	920939	1565671	"AR249"	"AxR"	899712	"control"	"TROST2_plate10_M1_101114_4pm"	"plate10"	"M1"	"GH"	101114	"4pm"
77	"foil greenhouse"	"MPI FGH 2014"	920940	1565675	"AR280"	"AxR"	899743	"control"	"TROST2_plate10_M1_101114_4pm"	"plate10"	"M1"	"IJ"	101114	"4pm"
78	"foil greenhouse"	"MPI FGH 2014"	920941	1565679	"AR247"	"AxR"	899710	"control"	"TROST2_plate10_M1_101114_4pm"	"plate10"	"M1"	"KL"	101114	"4pm"
79	"foil greenhouse"	"MPI FGH 2014"	920942	1565683	"AR99"	"AxR"	899562	"control"	"TROST2_plate10_M1_101114_4pm"	"plate10"	"M1"	"MN"	101114	"4pm"
80	"foil greenhouse"	"MPI FGH 2014"	920943	1565687	"AR61"	"AxR"	899524	"control"	"TROST2_plate10_M1_101114_4pm"	"plate10"	"M1"	"OP"	101114	"4pm"
81	"foil greenhouse"	"MPI FGH 2014"	920944	1565691	"AR143"	"AxR"	899606	"control"	"TROST2_plate11_M3_101114_4pm"	"plate11"	"M3"	"AB"	101114	"4pm"
82	"foil greenhouse"	"MPI FGH 2014"	920946	1565699	"AR60"	"AxR"	899523	"control"	"TROST2_plate11_M3_101114_4pm"	"plate11"	"M3"	"CD"	101114	"4pm"
83	"foil greenhouse"	"MPI FGH 2014"	920947	1565703	"AR170"	"AxR"	899633	"control"	"TROST2_plate11_M3_101114_4pm"	"plate11"	"M3"	"EF"	101114	"4pm"
84	"foil greenhouse"	"MPI FGH 2014"	920948	1565707	"AR188"	"AxR"	899651	"control"	"TROST2_plate11_M3_101114_4pm"	"plate11"	"M3"	"GH"	101114	"4pm"
85	"foil greenhouse"	"MPI FGH 2014"	920949	1565711	"AR9"	"AxR"	899472	"control"	"TROST2_plate11_M3_101114_4pm"	"plate11"	"M3"	"IJ"	101114	"4pm"
86	"foil greenhouse"	"MPI FGH 2014"	920950	1565715	"AR122"	"AxR"	899585	"control"	"TROST2_plate11_M3_101114_4pm"	"plate11"	"M3"	"KL"	101114	"4pm"
87	"foil greenhouse"	"MPI FGH 2014"	920952	1565723	"AR235"	"AxR"	899698	"control"	"TROST2_plate11_M3_101114_4pm"	"plate11"	"M3"	"MN"	101114	"4pm"
88	"foil greenhouse"	"MPI FGH 2014"	920953	1565727	"AR20"	"AxR"	899483	"control"	"TROST2_plate11_M3_101114_4pm"	"plate11"	"M3"	"OP"	101114	"4pm"
89	"foil greenhouse"	"MPI FGH 2014"	920954	1565731	"AR241"	"AxR"	899704	"control"	"TROST2_plate12_M4_101114_4pm"	"plate12"	"M4"	"AB"	101114	"4pm"
90	"foil greenhouse"	"MPI FGH 2014"	920955	1565735	"AR285"	"AxR"	899748	"control"	"TROST2_plate12_M4_101114_4pm"	"plate12"	"M4"	"CD"	101114	"4pm"
91	"foil greenhouse"	"MPI FGH 2014"	920956	1565739	"Ramses"	"Ramses"	858641	"control"	"TROST2_plate12_M4_101114_4pm"	"plate12"	"M4"	"EF"	101114	"4pm"
92	"foil greenhouse"	"MPI FGH 2014"	920957	1565743	"AR43"	"AxR"	899506	"control"	"TROST2_plate12_M4_101114_4pm"	"plate12"	"M4"	"GH"	101114	"4pm"
93	"foil greenhouse"	"MPI FGH 2014"	920958	1565747	"EA125"	"ExA"	899885	"control"	"TROST2_plate12_M4_101114_4pm"	"plate12"	"M4"	"IJ"	101114	"4pm"
94	"foil greenhouse"	"MPI FGH 2014"	920959	1565751	"AR67"	"AxR"	899530	"control"	"TROST2_plate12_M4_101114_4pm"	"plate12"	"M4"	"KL"	101114	"4pm"
95	"foil greenhouse"	"MPI FGH 2014"	920960	1565755	"AR55"	"AxR"	899518	"control"	"TROST2_plate12_M4_101114_4pm"	"plate12"	"M4"	"MN"	101114	"4pm"
96	"foil greenhouse"	"MPI FGH 2014"	920961	1565759	"AR56"	"AxR"	899519	"control"	"TROST2_plate12_M4_101114_4pm"	"plate12"	"M4"	"OP"	101114	"4pm"
97	"foil greenhouse"	"MPI FGH 2014"	920962	1565763	"AR123"	"AxR"	899586	"control"	"TROST2_plate13_M1_101114_6pm"	"plate13"	"M1"	"AB"	101114	"6pm"
98	"foil greenhouse"	"MPI FGH 2014"	920963	1565767	"EA170"	"ExA"	899930	"control"	"TROST2_plate13_M1_101114_6pm"	"plate13"	"M1"	"CD"	101114	"6pm"
99	"foil greenhouse"	"MPI FGH 2014"	920964	1565771	"EA115"	"ExA"	899875	"control"	"TROST2_plate13_M1_101114_6pm"	"plate13"	"M1"	"EF"	101114	"6pm"
100	"foil greenhouse"	"MPI FGH 2014"	920965	1565775	"EA7"	"ExA"	899445	"control"	"TROST2_plate13_M1_101114_6pm"	"plate13"	"M1"	"GH"	101114	"6pm"
101	"foil greenhouse"	"MPI FGH 2014"	920966	1565779	"EA64"	"ExA"	899824	"control"	"TROST2_plate13_M1_101114_6pm"	"plate13"	"M1"	"IJ"	101114	"6pm"
102	"foil greenhouse"	"MPI FGH 2014"	920967	1565783	"EA112"	"ExA"	899872	"control"	"TROST2_plate13_M1_101114_6pm"	"plate13"	"M1"	"KL"	101114	"6pm"
103	"foil greenhouse"	"MPI FGH 2014"	920970	1565795	"EA186"	"ExA"	899946	"control"	"TROST2_plate13_M1_101114_6pm"	"plate13"	"M1"	"MN"	101114	"6pm"
104	"foil greenhouse"	"MPI FGH 2014"	920973	1565807	"EA140"	"ExA"	899900	"control"	"TROST2_plate13_M1_101114_6pm"	"plate13"	"M1"	"OP"	101114	"6pm"
105	"foil greenhouse"	"MPI FGH 2014"	920974	1565811	"EA132"	"ExA"	899892	"control"	"TROST2_plate14_M2_101114_6pm"	"plate14"	"M2"	"AB"	101114	"6pm"
106	"foil greenhouse"	"MPI FGH 2014"	920975	1565815	"EA66"	"ExA"	899826	"control"	"TROST2_plate14_M2_101114_6pm"	"plate14"	"M2"	"CD"	101114	"6pm"
107	"foil greenhouse"	"MPI FGH 2014"	920976	1565819	"EA133"	"ExA"	899893	"control"	"TROST2_plate14_M2_101114_6pm"	"plate14"	"M2"	"EF"	101114	"6pm"
108	"foil greenhouse"	"MPI FGH 2014"	920977	1565823	"EA152"	"ExA"	899912	"control"	"TROST2_plate14_M2_101114_6pm"	"plate14"	"M2"	"GH"	101114	"6pm"
109	"foil greenhouse"	"MPI FGH 2014"	920978	1565827	"EA24"	"ExA"	899462	"control"	"TROST2_plate14_M2_101114_6pm"	"plate14"	"M2"	"IJ"	101114	"6pm"
110	"foil greenhouse"	"MPI FGH 2014"	920979	1565831	"EA43"	"ExA"	899803	"control"	"TROST2_plate14_M2_101114_6pm"	"plate14"	"M2"	"KL"	101114	"6pm"
111	"foil greenhouse"	"MPI FGH 2014"	920980	1565835	"EA20"	"ExA"	899458	"control"	"TROST2_plate14_M2_101114_6pm"	"plate14"	"M2"	"MN"	101114	"6pm"
112	"foil greenhouse"	"MPI FGH 2014"	920981	1565839	"EA30"	"ExA"	899790	"control"	"TROST2_plate14_M2_101114_6pm"	"plate14"	"M2"	"OP"	101114	"6pm"
113	"foil greenhouse"	"MPI FGH 2014"	920982	1565843	"EA159"	"ExA"	899919	"control"	"TROST2_plate15_M3_101114_6pm"	"plate15"	"M3"	"AB"	101114	"6pm"
114	"foil greenhouse"	"MPI FGH 2014"	920985	1565855	"EA74"	"ExA"	899834	"control"	"TROST2_plate15_M3_101114_6pm"	"plate15"	"M3"	"CD"	101114	"6pm"
115	"foil greenhouse"	"MPI FGH 2014"	920986	1565859	"EA47"	"ExA"	899807	"control"	"TROST2_plate15_M3_101114_6pm"	"plate15"	"M3"	"EF"	101114	"6pm"
116	"foil greenhouse"	"MPI FGH 2014"	920987	1565863	"EA35"	"ExA"	899795	"control"	"TROST2_plate15_M3_101114_6pm"	"plate15"	"M3"	"GH"	101114	"6pm"
117	"foil greenhouse"	"MPI FGH 2014"	920988	1565867	"EA168"	"ExA"	899928	"control"	"TROST2_plate15_M3_101114_6pm"	"plate15"	"M3"	"IJ"	101114	"6pm"
118	"foil greenhouse"	"MPI FGH 2014"	920989	1565871	"EA111"	"ExA"	899871	"control"	"TROST2_plate15_M3_101114_6pm"	"plate15"	"M3"	"KL"	101114	"6pm"
119	"foil greenhouse"	"MPI FGH 2014"	920990	1565875	"EA179"	"ExA"	899939	"control"	"TROST2_plate15_M3_101114_6pm"	"plate15"	"M3"	"MN"	101114	"6pm"
120	"foil greenhouse"	"MPI FGH 2014"	920991	1565879	"EA17"	"ExA"	899455	"control"	"TROST2_plate15_M3_101114_6pm"	"plate15"	"M3"	"OP"	101114	"6pm"
121	"foil greenhouse"	"MPI FGH 2014"	920992	1565883	"EA162"	"ExA"	899922	"control"	"TROST2_plate16_M4_101114_6pm"	"plate16"	"M4"	"AB"	101114	"6pm"
122	"foil greenhouse"	"MPI FGH 2014"	920993	1565887	"EA71"	"ExA"	899831	"control"	"TROST2_plate16_M4_101114_6pm"	"plate16"	"M4"	"CD"	101114	"6pm"
123	"foil greenhouse"	"MPI FGH 2014"	920994	1565891	"EA72"	"ExA"	899832	"control"	"TROST2_plate16_M4_101114_6pm"	"plate16"	"M4"	"EF"	101114	"6pm"
124	"foil greenhouse"	"MPI FGH 2014"	920995	1565895	"EA165"	"ExA"	899925	"control"	"TROST2_plate16_M4_101114_6pm"	"plate16"	"M4"	"GH"	101114	"6pm"
125	"foil greenhouse"	"MPI FGH 2014"	920997	1565903	"EA45"	"ExA"	899805	"control"	"TROST2_plate16_M4_101114_6pm"	"plate16"	"M4"	"IJ"	101114	"6pm"
126	"foil greenhouse"	"MPI FGH 2014"	920998	1565907	"EA131"	"ExA"	899891	"control"	"TROST2_plate16_M4_101114_6pm"	"plate16"	"M4"	"KL"	101114	"6pm"
127	"foil greenhouse"	"MPI FGH 2014"	920999	1565911	"EA266"	"ExA"	900026	"control"	"TROST2_plate16_M4_101114_6pm"	"plate16"	"M4"	"MN"	101114	"6pm"
128	"foil greenhouse"	"MPI FGH 2014"	921000	1565915	"EA218"	"ExA"	899978	"control"	"TROST2_plate16_M4_101114_6pm"	"plate16"	"M4"	"OP"	101114	"6pm"
129	"foil greenhouse"	"MPI FGH 2014"	921001	1565919	"EA207"	"ExA"	899967	"control"	"TROST2_plate17_M3_111114_8am"	"plate17"	"M3"	"AB"	111114	"8am"
130	"foil greenhouse"	"MPI FGH 2014"	921002	1565923	"EA176"	"ExA"	899936	"control"	"TROST2_plate17_M3_111114_8am"	"plate17"	"M3"	"CD"	111114	"8am"
131	"foil greenhouse"	"MPI FGH 2014"	921003	1565927	"EA174"	"ExA"	899934	"control"	"TROST2_plate17_M3_111114_8am"	"plate17"	"M3"	"EF"	111114	"8am"
132	"foil greenhouse"	"MPI FGH 2014"	921004	1565931	"EA167"	"ExA"	899927	"control"	"TROST2_plate17_M3_111114_8am"	"plate17"	"M3"	"GH"	111114	"8am"
133	"foil greenhouse"	"MPI FGH 2014"	921008	1565947	"EA182"	"ExA"	899942	"control"	"TROST2_plate17_M3_111114_8am"	"plate17"	"M3"	"IJ"	111114	"8am"
134	"foil greenhouse"	"MPI FGH 2014"	921009	1565951	"EA198"	"ExA"	899958	"control"	"TROST2_plate17_M3_111114_8am"	"plate17"	"M3"	"KL"	111114	"8am"
135	"foil greenhouse"	"MPI FGH 2014"	921010	1565955	"EA99"	"ExA"	899859	"control"	"TROST2_plate17_M3_111114_8am"	"plate17"	"M3"	"MN"	111114	"8am"
136	"foil greenhouse"	"MPI FGH 2014"	921011	1565959	"EA28"	"ExA"	899788	"control"	"TROST2_plate17_M3_111114_8am"	"plate17"	"M3"	"OP"	111114	"8am"
137	"foil greenhouse"	"MPI FGH 2014"	921013	1565967	"EA183"	"ExA"	899943	"control"	"TROST2_plate18_M4_111114_8am"	"plate18"	"M4"	"AB"	111114	"8am"
138	"foil greenhouse"	"MPI FGH 2014"	921014	1565971	"EA300"	"ExA"	900060	"control"	"TROST2_plate18_M4_111114_8am"	"plate18"	"M4"	"CD"	111114	"8am"
139	"foil greenhouse"	"MPI FGH 2014"	921017	1565979	"EA296"	"ExA"	900056	"control"	"TROST2_plate18_M4_111114_8am"	"plate18"	"M4"	"EF"	111114	"8am"
140	"foil greenhouse"	"MPI FGH 2014"	921018	1565983	"EA19"	"ExA"	899457	"control"	"TROST2_plate18_M4_111114_8am"	"plate18"	"M4"	"GH"	111114	"8am"
141	"foil greenhouse"	"MPI FGH 2014"	921019	1565987	"EA252"	"ExA"	900012	"control"	"TROST2_plate102_M1_171114_11am"	"plate102"	"M1"	"EF"	171114	"11am"
142	"foil greenhouse"	"MPI FGH 2014"	921020	1565991	"EA14"	"ExA"	899452	"control"	"TROST2_plate18_M4_111114_8am"	"plate18"	"M4"	"KL"	111114	"8am"
143	"foil greenhouse"	"MPI FGH 2014"	921022	1565999	"EA175"	"ExA"	899935	"control"	"TROST2_plate102_M1_171114_11am"	"plate102"	"M1"	"GH"	171114	"11am"
144	"foil greenhouse"	"MPI FGH 2014"	921023	1566003	"EA196"	"ExA"	899956	"control"	"TROST2_plate18_M4_111114_8am"	"plate18"	"M4"	"OP"	111114	"8am"
145	"foil greenhouse"	"MPI FGH 2014"	921024	1566007	"EA172"	"ExA"	899932	"control"	"TROST2_plate19_M1_111114_8am"	"plate19"	"M1"	"AB"	111114	"8am"
146	"foil greenhouse"	"MPI FGH 2014"	921025	1566011	"EA212"	"ExA"	899972	"control"	"TROST2_plate19_M1_111114_8am"	"plate19"	"M1"	"CD"	111114	"8am"
147	"foil greenhouse"	"MPI FGH 2014"	921026	1566015	"EA192"	"ExA"	899952	"control"	"TROST2_plate19_M1_111114_8am"	"plate19"	"M1"	"EF"	111114	"8am"
