"cultivation"	"trial"	"sampleID"	"aliquotID"	"cultivar"	"subspecies_id"	"treatment"	"trost_valdis"
"24"	"field"	"mpi_feld_2011"	864877	1116479	"Tomensa"	2862	"drought stress"	"trost"
"25"	"field"	"mpi_feld_2011"	865034	1115368	"Saturna"	2675	"control"	"trost"
"26"	"field"	"mpi_feld_2011"	865152	1113615	"Saturna"	2675	"control"	"trost"
"27"	"field"	"mpi_feld_2011"	864871	1116455	"Saturna"	2675	"drought stress"	"trost"
"28"	"field"	"mpi_feld_2011"	864907	1116599	"Saturna"	2675	"drought stress"	"trost"
"29"	"field"	"mpi_feld_2011"	865073	1115524	"Tomba"	2863	"control"	"trost"
"30"	"field"	"mpi_feld_2011"	864882	1116499	"Tomba"	2863	"drought stress"	"trost"
"31"	"field"	"mpi_feld_2011"	865063	1115484	"Jumbo"	2864	"control"	"trost"
"32"	"field"	"mpi_feld_2011"	864935	1116711	"Jumbo"	2864	"drought stress"	"trost"
"33"	"field"	"mpi_feld_2011"	865066	1115496	"Logo"	2865	"control"	"trost"
"34"	"field"	"mpi_feld_2011"	864922	1116659	"Logo"	2865	"drought stress"	"trost"
"35"	"field"	"mpi_feld_2011"	865051	1115436	"Maxi"	2866	"control"	"trost"
"36"	"field"	"mpi_feld_2011"	864919	1116647	"Maxi"	2866	"drought stress"	"trost"
"37"	"field"	"mpi_feld_2011"	865050	1115432	"Power"	2867	"control"	"trost"
"38"	"field"	"mpi_feld_2011"	864915	1116631	"Power"	2867	"drought stress"	"trost"
"39"	"field"	"mpi_feld_2011"	865040	1115392	"Sommergold"	2868	"control"	"trost"
"40"	"field"	"mpi_feld_2011"	864870	1116451	"Sommergold"	2868	"drought stress"	"trost"
"41"	"field"	"mpi_feld_2011"	865020	1117051	"Jasia"	2869	"control"	"trost"
"42"	"field"	"mpi_feld_2011"	864869	1116447	"Jasia"	2869	"drought stress"	"trost"
"43"	"field"	"mpi_feld_2011"	865024	1117067	"Desiree"	382	"control"	"trost"
"44"	"field"	"mpi_feld_2011"	865084	1115568	"Desiree"	382	"control"	"trost"
"45"	"field"	"mpi_feld_2011"	865052	1115440	"Albatros"	2870	"control"	"trost"
"46"	"field"	"mpi_feld_2011"	864880	1116491	"Albatros"	2870	"drought stress"	"trost"
"47"	"field"	"mpi_feld_2011"	864876	1116475	"Desiree"	382	"drought stress"	"trost"
"48"	"field"	"mpi_feld_2011"	864938	1116723	"Desiree"	382	"drought stress"	"trost"
"49"	"field"	"mpi_feld_2011"	865026	1117075	"Alegria"	2673	"control"	"trost"
"50"	"field"	"mpi_feld_2011"	865106	1115656	"Alegria"	2673	"control"	"trost"
"51"	"field"	"mpi_feld_2011"	864890	1116531	"Alegria"	2673	"drought stress"	"trost"
"52"	"field"	"mpi_feld_2011"	864949	1116767	"Alegria"	2673	"drought stress"	"trost"
"53"	"field"	"mpi_feld_2011"	865060	1115472	"Karlena"	2871	"control"	"trost"
"54"	"field"	"mpi_feld_2011"	864914	1116627	"Karlena"	2871	"drought stress"	"trost"
"55"	"field"	"mpi_feld_2011"	865027	1117079	"Kiebitz"	2872	"control"	"trost"
"56"	"field"	"mpi_feld_2011"	864894	1116547	"Kiebitz"	2872	"drought stress"	"trost"
"57"	"field"	"mpi_feld_2011"	865019	1117047	"Kolibri"	2873	"control"	"trost"
"58"	"field"	"mpi_feld_2011"	864891	1116535	"Kolibri"	2873	"drought stress"	"trost"
"59"	"field"	"mpi_feld_2011"	865025	1117071	"Kormoran"	2874	"control"	"trost"
"60"	"field"	"mpi_feld_2011"	864887	1116519	"Kormoran"	2874	"drought stress"	"trost"
"61"	"field"	"mpi_feld_2011"	865076	1115536	"Maxilla"	2875	"control"	"trost"
"62"	"field"	"mpi_feld_2011"	864885	1116511	"Maxilla"	2875	"drought stress"	"trost"
"63"	"field"	"mpi_feld_2011"	865038	1115384	"Pirol"	2876	"control"	"trost"
"64"	"field"	"mpi_feld_2011"	864875	1116471	"Pirol"	2876	"drought stress"	"trost"
"65"	"field"	"mpi_feld_2011"	865072	1115520	"Burana"	2877	"control"	"trost"
"66"	"field"	"mpi_feld_2011"	864932	1116699	"Burana"	2877	"drought stress"	"trost"
"67"	"field"	"mpi_feld_2011"	865046	1115416	"Golf"	2878	"control"	"trost"
"68"	"field"	"mpi_feld_2011"	864897	1116559	"Golf"	2878	"drought stress"	"trost"
"69"	"field"	"mpi_feld_2011"	865104	1115648	"Priamos"	2879	"control"	"trost"
"70"	"field"	"mpi_feld_2011"	864895	1116551	"Priamos"	2879	"drought stress"	"trost"
"71"	"field"	"mpi_feld_2011"	865035	1115372	"Ramses"	2880	"control"	"trost"
"72"	"field"	"mpi_feld_2011"	864868	1116443	"Ramses"	2880	"drought stress"	"trost"
"73"	"field"	"mpi_feld_2011"	865071	1115516	"Sibu"	2881	"control"	"trost"
"74"	"field"	"mpi_feld_2011"	864950	1116771	"Sibu"	2881	"drought stress"	"trost"
"75"	"field"	"mpi_feld_2011"	865023	1117063	"Verdi"	2882	"control"	"trost"
"76"	"field"	"mpi_feld_2011"	864878	1116483	"Verdi"	2882	"drought stress"	"trost"
"77"	"greenhouse"	"mpi_pruef1"	883309	1263296	"Desiree"	382	"control"	"trost"
"78"	"greenhouse"	"mpi_pruef1"	883273	1263152	"Desiree"	382	"drought stress"	"trost"
"79"	"greenhouse"	"mpi_pruef1"	883299	1263256	"Saturna"	2675	"control"	"trost"
"80"	"greenhouse"	"mpi_pruef1"	883252	1263068	"Saturna"	2675	"drought stress"	"trost"
"81"	"greenhouse"	"mpi_pruef1"	883289	1263216	"Golf"	2878	"control"	"trost"
"82"	"greenhouse"	"mpi_pruef1"	883261	1263104	"Golf"	2878	"drought stress"	"trost"
"83"	"greenhouse"	"mpi_pruef1"	883312	1263308	"Priamos"	2879	"control"	"trost"
"84"	"greenhouse"	"mpi_pruef1"	883259	1263096	"Priamos"	2879	"drought stress"	"trost"
"85"	"greenhouse"	"mpi_pruef1"	883301	1263264	"Burana"	2877	"control"	"trost"
"86"	"greenhouse"	"mpi_pruef1"	883269	1263136	"Burana"	2877	"drought stress"	"trost"
"87"	"greenhouse"	"mpi_pruef1"	883303	1263272	"Sibu"	2881	"control"	"trost"
"88"	"greenhouse"	"mpi_pruef1"	883270	1263140	"Sibu"	2881	"drought stress"	"trost"
"89"	"greenhouse"	"mpi_pruef1"	883295	1263240	"Ramses"	2880	"control"	"trost"
"90"	"greenhouse"	"mpi_pruef1"	883282	1263188	"Ramses"	2880	"drought stress"	"trost"
"91"	"greenhouse"	"mpi_pruef1"	883288	1263212	"Verdi"	2882	"control"	"trost"
"92"	"greenhouse"	"mpi_pruef1"	883281	1263184	"Verdi"	2882	"drought stress"	"trost"
"93"	"greenhouse"	"mpi_pruef1"	883293	1263232	"Albatros"	2870	"control"	"trost"
"94"	"greenhouse"	"mpi_pruef1"	883279	1263176	"Albatros"	2870	"drought stress"	"trost"
"95"	"greenhouse"	"mpi_pruef1"	883290	1263220	"Maxilla"	2875	"control"	"trost"
"96"	"greenhouse"	"mpi_pruef1"	883264	1263116	"Maxilla"	2875	"drought stress"	"trost"
"97"	"greenhouse"	"mpi_pruef1"	883308	1263292	"Sommergold"	2868	"control"	"trost"
"98"	"greenhouse"	"mpi_pruef1"	883280	1263180	"Sommergold"	2868	"drought stress"	"trost"
"99"	"greenhouse"	"mpi_pruef1"	883286	1263204	"Logo"	2865	"control"	"trost"
"100"	"greenhouse"	"mpi_pruef1"	883274	1263156	"Logo"	2865	"drought stress"	"trost"
"101"	"greenhouse"	"mpi_pruef1"	883315	1263320	"Kormoran"	2874	"control"	"trost"
"102"	"greenhouse"	"mpi_pruef1"	883276	1263164	"Kormoran"	2874	"drought stress"	"trost"
"103"	"greenhouse"	"mpi_pruef1"	883285	1263200	"Kiebitz"	2872	"control"	"trost"
"104"	"greenhouse"	"mpi_pruef1"	883262	1263108	"Kiebitz"	2872	"drought stress"	"trost"
"105"	"greenhouse"	"mpi_pruef1"	883310	1263300	"Kolibri"	2873	"control"	"trost"
"106"	"greenhouse"	"mpi_pruef1"	883271	1263144	"Kolibri"	2873	"drought stress"	"trost"
"107"	"greenhouse"	"mpi_pruef1"	883313	1263312	"Pirol"	2876	"control"	"trost"
"108"	"greenhouse"	"mpi_pruef1"	883256	1263084	"Pirol"	2876	"drought stress"	"trost"
"109"	"greenhouse"	"mpi_pruef1"	883302	1263268	"Power"	2867	"control"	"trost"
"110"	"greenhouse"	"mpi_pruef1"	883255	1263080	"Power"	2867	"drought stress"	"trost"
"111"	"greenhouse"	"mpi_pruef1"	883304	1263276	"Maxi"	2866	"control"	"trost"
"112"	"greenhouse"	"mpi_pruef1"	883267	1263128	"Maxi"	2866	"drought stress"	"trost"
"113"	"greenhouse"	"mpi_pruef1"	883306	1263284	"Jumbo"	2864	"control"	"trost"
"114"	"greenhouse"	"mpi_pruef1"	883253	1263072	"Jumbo"	2864	"drought stress"	"trost"
"115"	"greenhouse"	"mpi_pruef1"	883317	1263328	"Alegria"	2673	"control"	"trost"
"116"	"greenhouse"	"mpi_pruef1"	883284	1263196	"Alegria"	2673	"drought stress"	"trost"
"117"	"greenhouse"	"mpi_pruef1"	883294	1263236	"Karlena"	2871	"control"	"trost"
"118"	"greenhouse"	"mpi_pruef1"	883268	1263132	"Karlena"	2871	"drought stress"	"trost"
"119"	"greenhouse"	"mpi_pruef1"	883292	1263228	"Eurobravo"	2855	"control"	"trost"
"120"	"greenhouse"	"mpi_pruef1"	883275	1263160	"Eurobravo"	2855	"drought stress"	"trost"
"121"	"greenhouse"	"mpi_pruef1"	883296	1263244	"Euronova"	2857	"control"	"trost"
"122"	"greenhouse"	"mpi_pruef1"	883265	1263120	"Euronova"	2857	"drought stress"	"trost"
"123"	"greenhouse"	"mpi_pruef1"	883316	1263324	"Euroresa"	2858	"control"	"trost"
"124"	"greenhouse"	"mpi_pruef1"	883263	1263112	"Euroresa"	2858	"drought stress"	"trost"
"125"	"greenhouse"	"mpi_pruef1"	883311	1263304	"Milva"	2674	"control"	"trost"
"126"	"greenhouse"	"mpi_pruef1"	883277	1263168	"Milva"	2674	"drought stress"	"trost"
"127"	"greenhouse"	"mpi_pruef1"	883300	1263260	"Tomba"	2863	"control"	"trost"
"128"	"greenhouse"	"mpi_pruef1"	883254	1263076	"Tomba"	2863	"drought stress"	"trost"
"129"	"greenhouse"	"mpi_pruef1"	883287	1263208	"Ulme"	2853	"control"	"trost"
"130"	"greenhouse"	"mpi_pruef1"	883266	1263124	"Ulme"	2853	"drought stress"	"trost"
"131"	"greenhouse"	"mpi_pruef1"	883291	1263224	"Eldena"	2854	"control"	"trost"
"132"	"greenhouse"	"mpi_pruef1"	883251	1263064	"Eldena"	2854	"drought stress"	"trost"
"133"	"greenhouse"	"mpi_pruef1"	883318	1263332	"Tomensa"	2862	"control"	"trost"
"134"	"greenhouse"	"mpi_pruef1"	883283	1263192	"Tomensa"	2862	"drought stress"	"trost"
"135"	"greenhouse"	"mpi_pruef1"	883314	1263316	"Eurotango"	2860	"control"	"trost"
"136"	"greenhouse"	"mpi_pruef1"	883260	1263100	"Eurotango"	2860	"drought stress"	"trost"
"137"	"greenhouse"	"mpi_pruef1"	883305	1263280	"Eurostarch"	2859	"control"	"trost"
"138"	"greenhouse"	"mpi_pruef1"	883278	1263172	"Eurostarch"	2859	"drought stress"	"trost"
"139"	"greenhouse"	"mpi_pruef1"	883307	1263288	"Euroflora"	2856	"control"	"trost"
"140"	"greenhouse"	"mpi_pruef1"	883272	1263148	"Euroflora"	2856	"drought stress"	"trost"
"141"	"greenhouse"	"mpi_pruef1"	883298	1263252	"Kuras"	2861	"control"	"trost"
"142"	"greenhouse"	"mpi_pruef1"	883258	1263092	"Kuras"	2861	"drought stress"	"trost"
"143"	"greenhouse"	"mpi_pruef1"	883297	1263248	"Jasia"	2869	"control"	"trost"
"144"	"greenhouse"	"mpi_pruef1"	883257	1263088	"Jasia"	2869	"drought stress"	"trost"
"145"	"field"	"mpi_feld_2012"	881688	1261996	"Milva"	2674	"control"	"trost"
"146"	"field"	"mpi_feld_2012"	881753	1264088	"Milva"	2674	"control"	"trost"
"147"	"field"	"mpi_feld_2012"	881854	1264492	"Milva"	2674	"drought stress"	"trost"
"148"	"field"	"mpi_feld_2012"	881892	1264644	"Milva"	2674	"drought stress"	"trost"
"149"	"field"	"mpi_feld_2012"	881677	1261952	"Saturna"	2675	"control"	"trost"
"150"	"field"	"mpi_feld_2012"	881721	1263960	"Saturna"	2675	"control"	"trost"
"151"	"field"	"mpi_feld_2012"	881844	1264452	"Saturna"	2675	"drought stress"	"trost"
"152"	"field"	"mpi_feld_2012"	881912	1264724	"Saturna"	2675	"drought stress"	"trost"
"153"	"field"	"mpi_feld_2012"	881684	1261980	"Eldena"	2854	"control"	"trost"
"154"	"field"	"mpi_feld_2012"	881910	1264716	"Eldena"	2854	"drought stress"	"trost"
"155"	"field"	"mpi_feld_2012"	881676	1261948	"Euroflora"	2856	"control"	"trost"
"156"	"field"	"mpi_feld_2012"	881890	1264636	"Euroflora"	2856	"drought stress"	"trost"
"157"	"field"	"mpi_feld_2012"	881679	1261960	"Euronova"	2857	"control"	"trost"
"158"	"field"	"mpi_feld_2012"	881867	1264544	"Euronova"	2857	"drought stress"	"trost"
"159"	"field"	"mpi_feld_2012"	881728	1263988	"Eurotango"	2860	"control"	"trost"
"160"	"field"	"mpi_feld_2012"	881871	1264560	"Eurotango"	2860	"drought stress"	"trost"
"161"	"field"	"mpi_feld_2012"	881719	1263952	"Tomba"	2863	"control"	"trost"
"162"	"field"	"mpi_feld_2012"	881834	1264412	"Tomba"	2863	"drought stress"	"trost"
"163"	"field"	"mpi_feld_2012"	881694	1262020	"Eurobravo"	2855	"control"	"trost"
"164"	"field"	"mpi_feld_2012"	881840	1264436	"Eurobravo"	2855	"drought stress"	"trost"
"165"	"field"	"mpi_feld_2012"	881795	1264256	"Jumbo"	2864	"control"	"trost"
"166"	"field"	"mpi_feld_2012"	881830	1264396	"Jumbo"	2864	"drought stress"	"trost"
"167"	"field"	"mpi_feld_2012"	881724	1263972	"Logo"	2865	"control"	"trost"
"168"	"field"	"mpi_feld_2012"	881891	1264640	"Logo"	2865	"drought stress"	"trost"
"169"	"field"	"mpi_feld_2012"	881682	1261972	"Maxi"	2866	"control"	"trost"
"170"	"field"	"mpi_feld_2012"	881894	1264652	"Maxi"	2866	"drought stress"	"trost"
"171"	"field"	"mpi_feld_2012"	881680	1261964	"Power"	2867	"control"	"trost"
"172"	"field"	"mpi_feld_2012"	881848	1264468	"Power"	2867	"drought stress"	"trost"
"173"	"field"	"mpi_feld_2012"	881699	1262040	"Sommergold"	2868	"control"	"trost"
"174"	"field"	"mpi_feld_2012"	881846	1264460	"Sommergold"	2868	"drought stress"	"trost"
"175"	"field"	"mpi_feld_2012"	881685	1261984	"Albatros"	2870	"control"	"trost"
"176"	"field"	"mpi_feld_2012"	881842	1264444	"Albatros"	2870	"drought stress"	"trost"
"177"	"field"	"mpi_feld_2012"	881690	1262004	"Karlena"	2871	"control"	"trost"
"178"	"field"	"mpi_feld_2012"	881880	1264596	"Karlena"	2871	"drought stress"	"trost"
"179"	"field"	"mpi_feld_2012"	881745	1264056	"Kiebitz"	2872	"control"	"trost"
"180"	"field"	"mpi_feld_2012"	881831	1264400	"Kiebitz"	2872	"drought stress"	"trost"
"181"	"field"	"mpi_feld_2012"	881681	1261968	"Kolibri"	2873	"control"	"trost"
"182"	"field"	"mpi_feld_2012"	881922	1264764	"Kolibri"	2873	"drought stress"	"trost"
"183"	"field"	"mpi_feld_2012"	881739	1264032	"Kormoran"	2874	"control"	"trost"
"184"	"field"	"mpi_feld_2012"	881836	1264420	"Kormoran"	2874	"drought stress"	"trost"
"185"	"field"	"mpi_feld_2012"	881707	1263904	"Maxilla"	2875	"control"	"trost"
"186"	"field"	"mpi_feld_2012"	881856	1264500	"Maxilla"	2875	"drought stress"	"trost"
"187"	"field"	"mpi_feld_2012"	881713	1263928	"Pirol"	2876	"control"	"trost"
"188"	"field"	"mpi_feld_2012"	881866	1264540	"Pirol"	2876	"drought stress"	"trost"
"189"	"field"	"mpi_feld_2012"	881678	1261956	"Alegria"	2673	"control"	"trost"
"190"	"field"	"mpi_feld_2012"	881717	1263944	"Alegria"	2673	"control"	"trost"
"191"	"field"	"mpi_feld_2012"	881828	1264388	"Alegria"	2673	"drought stress"	"trost"
"192"	"field"	"mpi_feld_2012"	881962	1264924	"Alegria"	2673	"drought stress"	"trost"
"193"	"field"	"mpi_feld_2012"	881778	1264188	"Euroresa"	2858	"control"	"trost"
"194"	"field"	"mpi_feld_2012"	881864	1264532	"Euroresa"	2858	"drought stress"	"trost"
"195"	"field"	"mpi_feld_2012"	881698	1262036	"Eurostarch"	2859	"control"	"trost"
"196"	"field"	"mpi_feld_2012"	881857	1264504	"Eurostarch"	2859	"drought stress"	"trost"
"197"	"field"	"mpi_feld_2012"	881704	1263892	"Kuras"	2861	"control"	"trost"
"198"	"field"	"mpi_feld_2012"	881845	1264456	"Kuras"	2861	"drought stress"	"trost"
"199"	"field"	"mpi_feld_2012"	881725	1263976	"Tomensa"	2862	"control"	"trost"
"200"	"field"	"mpi_feld_2012"	881849	1264472	"Tomensa"	2862	"drought stress"	"trost"
"201"	"field"	"mpi_feld_2012"	881692	1262012	"Burana"	2877	"control"	"trost"
"202"	"field"	"mpi_feld_2012"	881829	1264392	"Burana"	2877	"drought stress"	"trost"
"203"	"field"	"mpi_feld_2012"	881697	1262032	"Golf"	2878	"control"	"trost"
"204"	"field"	"mpi_feld_2012"	881851	1264480	"Golf"	2878	"drought stress"	"trost"
"205"	"field"	"mpi_feld_2012"	881687	1261992	"Sibu"	2881	"control"	"trost"
"206"	"field"	"mpi_feld_2012"	881838	1264428	"Sibu"	2881	"drought stress"	"trost"
"207"	"field"	"mpi_feld_2012"	881702	1263884	"Verdi"	2882	"control"	"trost"
"208"	"field"	"mpi_feld_2012"	881847	1264464	"Verdi"	2882	"drought stress"	"trost"
"209"	"field"	"mpi_feld_2012"	881756	1264100	"Priamos"	2879	"control"	"trost"
"210"	"field"	"mpi_feld_2012"	881833	1264408	"Priamos"	2879	"drought stress"	"trost"
"211"	"field"	"mpi_feld_2012"	881701	1263880	"Ramses"	2880	"control"	"trost"
"212"	"field"	"mpi_feld_2012"	881835	1264416	"Ramses"	2880	"drought stress"	"trost"
"213"	"field"	"mpi_feld_2012"	881686	1261988	"Desiree"	382	"control"	"trost"
"214"	"field"	"mpi_feld_2012"	881772	1264164	"Desiree"	382	"drought stress"	"trost"
"215"	"field"	"mpi_feld_2012"	881832	1264404	"Desiree"	382	"control"	"trost"
"216"	"field"	"mpi_feld_2012"	881942	1264844	"Desiree"	382	"drought stress"	"trost"
"217"	"field"	"mpi_feld_2012"	881732	1264004	"Jasia"	2869	"control"	"trost"
"218"	"field"	"mpi_feld_2012"	881897	1264664	"Jasia"	2869	"drought stress"	"trost"
"219"	"field"	"mpi_feld_2012"	881691	1262008	"Ulme"	2853	"control"	"trost"
"220"	"field"	"mpi_feld_2012"	881843	1264448	"Ulme"	2853	"drought stress"	"trost"
"221"	"field"	"jki_feld_2012"	882100	1280719	"Milva"	2674	"control"	"trost"
"222"	"field"	"jki_feld_2012"	882102	1280727	"Milva"	2674	"drought stress"	"trost"
"223"	"field"	"jki_feld_2012"	882104	1280735	"Saturna"	2675	"control"	"trost"
"224"	"field"	"jki_feld_2012"	882106	1280743	"Saturna"	2675	"drought stress"	"trost"
"225"	"field"	"jki_feld_2012"	881984	1280271	"Eldena"	2854	"control"	"trost"
"226"	"field"	"jki_feld_2012"	881986	1280279	"Eldena"	2854	"drought stress"	"trost"
"227"	"field"	"jki_feld_2012"	881992	1280303	"Euroflora"	2856	"control"	"trost"
"228"	"field"	"jki_feld_2012"	881994	1280311	"Euroflora"	2856	"drought stress"	"trost"
"229"	"field"	"jki_feld_2012"	881996	1280319	"Euronova"	2857	"control"	"trost"
"230"	"field"	"jki_feld_2012"	881998	1280327	"Euronova"	2857	"drought stress"	"trost"
"231"	"field"	"jki_feld_2012"	882008	1280367	"Eurotango"	2860	"control"	"trost"
"232"	"field"	"jki_feld_2012"	882010	1280375	"Eurotango"	2860	"drought stress"	"trost"
"233"	"field"	"jki_feld_2012"	882020	1280415	"Tomba"	2863	"control"	"trost"
"234"	"field"	"jki_feld_2012"	882022	1280423	"Tomba"	2863	"drought stress"	"trost"
"235"	"field"	"jki_feld_2012"	881988	1280287	"Eurobravo"	2855	"control"	"trost"
"236"	"field"	"jki_feld_2012"	881990	1280295	"Eurobravo"	2855	"drought stress"	"trost"
"237"	"field"	"jki_feld_2012"	882024	1280431	"Jumbo"	2864	"control"	"trost"
"238"	"field"	"jki_feld_2012"	882026	1280439	"Jumbo"	2864	"drought stress"	"trost"
"239"	"field"	"jki_feld_2012"	882028	1280447	"Logo"	2865	"control"	"trost"
"240"	"field"	"jki_feld_2012"	882030	1280455	"Logo"	2865	"drought stress"	"trost"
"241"	"field"	"jki_feld_2012"	882032	1280463	"Maxi"	2866	"control"	"trost"
"242"	"field"	"jki_feld_2012"	882034	1280471	"Maxi"	2866	"drought stress"	"trost"
"243"	"field"	"jki_feld_2012"	882036	1280479	"Power"	2867	"control"	"trost"
"244"	"field"	"jki_feld_2012"	882038	1280487	"Power"	2867	"drought stress"	"trost"
"245"	"field"	"jki_feld_2012"	882040	1280495	"Sommergold"	2868	"control"	"trost"
"246"	"field"	"jki_feld_2012"	882042	1280503	"Sommergold"	2868	"drought stress"	"trost"
"247"	"field"	"jki_feld_2012"	882048	1280527	"Albatros"	2870	"control"	"trost"
"248"	"field"	"jki_feld_2012"	882050	1280535	"Albatros"	2870	"drought stress"	"trost"
"249"	"field"	"jki_feld_2012"	882052	1280543	"Karlena"	2871	"control"	"trost"
"250"	"field"	"jki_feld_2012"	882054	1280551	"Karlena"	2871	"drought stress"	"trost"
"251"	"field"	"jki_feld_2012"	882056	1280559	"Kiebitz"	2872	"control"	"trost"
"252"	"field"	"jki_feld_2012"	882058	1280567	"Kiebitz"	2872	"drought stress"	"trost"
"253"	"field"	"jki_feld_2012"	882060	1280575	"Kolibri"	2873	"control"	"trost"
"254"	"field"	"jki_feld_2012"	882062	1280583	"Kolibri"	2873	"drought stress"	"trost"
"255"	"field"	"jki_feld_2012"	882064	1280591	"Kormoran"	2874	"control"	"trost"
"256"	"field"	"jki_feld_2012"	882066	1280599	"Kormoran"	2874	"drought stress"	"trost"
"257"	"field"	"jki_feld_2012"	882068	1280607	"Maxilla"	2875	"control"	"trost"
"258"	"field"	"jki_feld_2012"	882070	1280615	"Maxilla"	2875	"drought stress"	"trost"
"259"	"field"	"jki_feld_2012"	882072	1280623	"Pirol"	2876	"control"	"trost"
"260"	"field"	"jki_feld_2012"	882074	1280631	"Pirol"	2876	"drought stress"	"trost"
"261"	"field"	"jki_feld_2012"	882112	1280767	"Alegria"	2673	"control"	"trost"
"262"	"field"	"jki_feld_2012"	882755	1280775	"Alegria"	2673	"drought stress"	"trost"
"263"	"field"	"jki_feld_2012"	882000	1280335	"Euroresa"	2858	"control"	"trost"
"264"	"field"	"jki_feld_2012"	882002	1280343	"Euroresa"	2858	"drought stress"	"trost"
"265"	"field"	"jki_feld_2012"	882004	1280351	"Eurostarch"	2859	"control"	"trost"
"266"	"field"	"jki_feld_2012"	882006	1280359	"Eurostarch"	2859	"drought stress"	"trost"
"267"	"field"	"jki_feld_2012"	882012	1280383	"Kuras"	2861	"control"	"trost"
"268"	"field"	"jki_feld_2012"	882014	1280391	"Kuras"	2861	"drought stress"	"trost"
"269"	"field"	"jki_feld_2012"	882016	1280399	"Tomensa"	2862	"control"	"trost"
"270"	"field"	"jki_feld_2012"	882018	1280407	"Tomensa"	2862	"drought stress"	"trost"
"271"	"field"	"jki_feld_2012"	885511	1280783	"Burana"	2877	"control"	"trost"
"272"	"field"	"jki_feld_2012"	885513	1280791	"Burana"	2877	"drought stress"	"trost"
"273"	"field"	"jki_feld_2012"	882080	1280639	"Golf"	2878	"control"	"trost"
"274"	"field"	"jki_feld_2012"	882082	1280647	"Golf"	2878	"drought stress"	"trost"
"275"	"field"	"jki_feld_2012"	882092	1280687	"Sibu"	2881	"control"	"trost"
"276"	"field"	"jki_feld_2012"	882094	1280695	"Sibu"	2881	"drought stress"	"trost"
"277"	"field"	"jki_feld_2012"	882096	1280703	"Verdi"	2882	"control"	"trost"
"278"	"field"	"jki_feld_2012"	882098	1280711	"Verdi"	2882	"drought stress"	"trost"
"279"	"field"	"jki_feld_2012"	882084	1280655	"Priamos"	2879	"control"	"trost"
"280"	"field"	"jki_feld_2012"	882086	1280663	"Priamos"	2879	"drought stress"	"trost"
"281"	"field"	"jki_feld_2012"	882088	1280671	"Ramses"	2880	"control"	"trost"
"282"	"field"	"jki_feld_2012"	882090	1280679	"Ramses"	2880	"drought stress"	"trost"
"283"	"field"	"jki_feld_2012"	882108	1280751	"Desiree"	382	"control"	"trost"
"284"	"field"	"jki_feld_2012"	882110	1280759	"Desiree"	382	"drought stress"	"trost"
"285"	"field"	"jki_feld_2012"	882044	1280511	"Jasia"	2869	"control"	"trost"
"286"	"field"	"jki_feld_2012"	882045	1280515	"Jasia"	2869	"drought stress"	"trost"
"287"	"field"	"jki_feld_2012"	881980	1280255	"Ulme"	2853	"control"	"trost"
"288"	"field"	"jki_feld_2012"	881982	1280263	"Ulme"	2853	"drought stress"	"trost"
